id,strategy_id,name,,Content,type,category,,,,,4_See_N_Do_It,5_Coach_It,6_Own_It,7_PDF,8_Target_Audience,9_Lesson_Category,Playbook ,Vimeo ID,,Featured image
,,2 Man Game - Off Ball Options,9,"2 Man Games are all about decision making. In this video, we discuss the decision making options from an off-ball player perspective.",2-man-game,gameplay-concept,,,,,09-12,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-man-game-pdf.pdf/,1081201079,[mpdl-file-link file_id=995],https://powlax.com/wp-content/uploads/2020/08/2-Man-Games-Off-Ball-Options-Lacrosse-POWLAX.webp
,,2 Man Game - Pick Locations,105,An overview of how the location of picks can change the way picks work.,offense,,,,,,06-08,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-man-game-pdf.pdf/,1092017852,[mpdl-file-link file_id=1303],https://powlax.com/wp-content/uploads/2020/08/Pick-Locations-Lacrosse-POWLAX.webp
,,2 Man Game - The Perfect Pick,137,An overview of how we want players to set the Perfect Pick.,offense,,,,,,06-08,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-man-game-pdf.pdf/,1092017785,[mpdl-file-link file_id=1247],https://powlax.com/wp-content/uploads/2020/08/The-Perfect-Pick-Lacrosse-POWLAX.webp
,,2 Men Down,10,A look into defending when you are down 2 Men.,defense; man-down,,,,,,13-14,13-14,15-18,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1081201076,[mpdl-file-link file_id=1003],https://powlax.com/wp-content/uploads/2020/12/2-Men-Down-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/4-Man-Rotation-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/5-Man-Rotation-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Box-and-1-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Box-and-Surprise-Lock-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Dukes-Hybrid-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/House-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Jumping-The-Ball-Man-Down-Defense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Man-Down-Clear-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Man-Down-Face-Off-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/12/Man-Down-Restart-Trick-Plays-Short-Lacrosse-POWLAX.webp
,,2-3-2 Clear,11,The 2-3-2 clear is the new standard clear in college lacrosse because of it&#8217;s innovative subbing pattern and incredible ability to spread the field to beat even the toughest rides!,clearing,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-3-2-clear-pdf-lacrosse-powlax.pdf/,1092017597,[mpdl-file-link file_id=1115],https://powlax.com/wp-content/uploads/2020/08/2-3-2-Clear-POWLAX-Lacrosse-1-1.webp
,,21 12 Motion Offense Modification,185,Explainer video about a modification to the original 21-12 Motion Offense video,offense;motion-offense,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/141-double-mumbo-set-play-pdf-lacrosse-powlax.pdf/,1078452331,,
,,21-12 Motion Offense,13,"21-12 is an offensive concept that combines 4 widely used traditional offensive sets (2-2-2, 2-3-1, 1-3-2, and Open) into a single concept that is easy for players to understand and allows coaches to train and modify quickly with small sided 3 Man games and motions.",offense; motion-offense,,,,,,09-14,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/21-12-motion-offense-pdf-lacrosse-powlax.pdf/,193424879,[mpdl-file-link file_id=1079],https://powlax.com/wp-content/uploads/2020/08/21-12-Motion-Offense-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/08/Certify-YourselfTeam-with-POWLAX-Courses.webp
,,21-12 Motion Offense in 5 Minutes,183,"Shortened version of the 21-12 Motion Offense - This has the correct ideas, but is short and not explanatory enough.",offense;motion-offense,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/21-12-motion-offense-pdf-lacrosse-powlax.pdf/,1078452386,,
,,22 Quick,14,Quick passing + off-ball seal + timed cut = Lots of goals.,offense;man-up;set-plays,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/22-quick-man-up-play-pdf-lacrosse-pdf.pdf/,1078452455,[mpdl-file-link file_id=1081],https://powlax.com/wp-content/uploads/2020/08/22-Quick-Man-Up-Play-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/08/22-Quick-Man-Up-Play-Lacrosse-POWLAX-1.webp
,,3 High Pairs Offense,15,Penn State&#8217;s 3 High Pairs Offense,offense,,,,,,06-08,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/penn-state-offense-pdf-lacrosse-powlax.pdf/,1081201085,[mpdl-file-link file_id=1089],https://powlax.com/wp-content/uploads/2020/08/3-High-Pairs-Offense-Penn-State-Lacrosse-POWLAX.webp
,,3 Man Gears Offense vs Zone Defense,16,The 3 Man Gears Zone Offense is a great option vs a zone. It creates ton of motion for a team that can make great decisions.,offense,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/how-to-beat-zone-defense-lacrosse-coaching-zone-offense-powlax.pdf/,1092017572,[mpdl-file-link file_id=1092],https://powlax.com/wp-content/uploads/2022/07/EB8CB489-4798-4757-A976-873B66100D52.webp;https://powlax.com/wp-content/uploads/2022/07/F640F4E3-31F8-4C53-AD30-B5414A5A18FE.webp
,,3 Man Passing,17,"3 Man Passing is a great stickwork drill to use during transition-focused practices because it gets the players moving up and down the field, teaches elements of clearing communication, and adds in a bit of hidden conditioning in.",,skill-drill,,,,,06-08,06-08,09-10,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/3-man-passing-drill-lacrosse-powlax.pdf/,1078452011,[mpdl-file-link file_id=1098],
,,3-3 4 Man Wheel Man Up Offenses,161,These simple 4 Man Wheels Motions put every Man Down Defense in difficult situations that are easy to read and exploit.,,,,,,,,,,pdf_yes,,coaches_corner,https://powlax.com/mp-files/3-3-4-man-wheel-man-up-pdf-lacrosse-powlax.pdf/,1078452023,[mpdl-file-link file_id=1299],https://powlax.com/wp-content/uploads/2020/08/3-3-4-Man-Wheel-Man-Up-Offense-Lacrosse-POWLAX.webp
,,3-3 Man Up,162,Simple and effective. That&#8217;s what Man Up is all about. This simple Man Up Set will allow your players to make reads on the field and execute with the man advantage.,offense;man-up,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/3-3-man-up-pdf-lacrosse-powlax.pdf/,1078452051,[mpdl-file-link file_id=1301],https://powlax.com/wp-content/uploads/2020/08/3-3-Man-Up-Lacrosse-POWLAX.webp
,,3-3 Twist,144,Simple and Effective. This man up play exposes the man down defensive strategy and allows your trigger man to read the field and make a variety of passes to open players.,man-up,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/3-3-twist-man-up-play-pdf-lacrosse-powlax.pdf/,1078459810,[mpdl-file-link file_id=1152],https://powlax.com/wp-content/uploads/2020/08/Twist-Man-Up-Play-Lacrosse-POWLAX.webp
,,"3v0, 3v2, and 3v3 Dodge Follow Float",176,"How to use 3v0, 3v2, and 3v3 Drills to build your offense",offense; motion-offense,gameplay-concept,,,,,06-10,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/21-12-motion-offense-pdf-lacrosse-powlax.pdf/,179845605,,
,,3v2 to 4v3 Drill,18,Get all your players to play both sides of the ball with this simple modification to 3v2&#8217;s and 4v3&#8217;s.,offense;defense,team-competition,,,,,06-10,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/3v2-to-4v3-drill-pdf-lacrosse-powlax.pdf/,1078452085,[mpdl-file-link file_id=1100],https://powlax.com/wp-content/uploads/2020/08/3v2s-to-4v3s-Youtube-Final-2.webp
,,4 Man Rotation,20,Offenses with a dangerous inside finisher can be deadly&#8230;Especially man down. The 4 Man Rotation is a Man Down Defensive Strategy that locks off a single player inside and allows the remaining 4 defenseman to rotate to the remaining 5 offensive players.,defense;man-down,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/man-down-defense-basics-lacrosse-powlax.pdf/,1092017545,[mpdl-file-link file_id=1107],https://powlax.com/wp-content/uploads/2020/08/4-Man-Rotation-Man-Down-Lacrosse-POWLAX.webp
,,4 Man Rotation Man Down Defense,21,This video describes the foreman rotation man down defense,man-down,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1078452124,[mpdl-file-link file_id=1092],https://powlax.com/wp-content/uploads/2020/12/4-Man-Rotation-Man-Down-Defense-Lacrosse-POWLAX.webp
,,4-3 Alpha Clear,19,"This is a video about the 43 Alpha clear, the most utilized clear in Lacrosse",clearing,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/4-3-alpha-clear-lacrosse-powlax.pdf/,1078452091,[mpdl-file-link file_id=1102],https://powlax.com/wp-content/uploads/2020/08/4-3-Alpha-Clear-Lacrosse-POWLAX-scaled.webp
,,4-3 Clear,22,This video describes the 43 clear which is characterized by four players across the midline and three players building the base of the clear with the defenseman goalie and defense,clearing,,,,,,06-08,09-12,11-12,,coaches,coaches_corner,,1078452202,[mpdl-file-link file_id=1118],https://powlax.com/wp-content/uploads/2020/08/4-3-Clear-Lacrosse-POWLAX.webp
,,5 Keys to Picking and Building Lacrosse Drills,180,Learning how to pick the drills you want,,,,,,,06-08,06-18,15-18,,coaches,coaches_corner,,180943227,,
,,5 Man Rotation,23,"The 5 Man Rotation is a true Man to Man Defense minus the penalized player. The deficit of the penalized player puts the defense in a constant state of recovery, but the priority of getting to the hands of the ball carrier and adjacents is emphasized.",defense; man-down,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/man-down-defense-basics-lacrosse-powlax.pdf/,1092017507,[mpdl-file-link file_id=1146],https://powlax.com/wp-content/uploads/2020/08/5-Man-Rotation-Man-Down-Lacrosse-POWLAX.webp
,,5 Man Rotation Man Down Defense,24,The 5 Man Rotation is the base man to man MDD.,defense; man-down,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1078533442,[mpdl-file-link file_id=1148],https://powlax.com/wp-content/uploads/2020/12/5-Man-Rotation-Man-Down-Defense-Lacrosse-POWLAX.webp
,,5 On a Die Drill,25,5 on a Die Drill breaks down the assignments and roles of any man to man defense allowing players to get a greater understanding of slide and recovery principles.,defense,skill-drill,,,,,06-08,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/5-on-a-die-drill-slide-and-recover-drill-pdf-lacrosse-pdf.pdf/,1078459413,[mpdl-file-link file_id=1150],https://powlax.com/wp-content/uploads/2020/08/5-On-a-Die-Drill-Lacrosse-POWLAX-scaled.webp
,,5v4 Continuous Keep Away,26,Keep away drills are a fun and fast-paced way to warm players up while maintaining their read and react principles.,offense;defense,team-competition,,,,,06-08,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/5v4-keep-away-lacrosse-powlax.pdf/,1081201100,[mpdl-file-link file_id=1152],https://powlax.com/wp-content/uploads/2022/02/5v4-Continuous-Keep-Away-Lacrosse-POWLAX.webp
,,7v7 Up Pick Nations,27,Another great box play/concept to use in your 7v7 and 10v10 offenses.,offense;set-plays,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/7v7-up-pick-nations-pdf-lacrosse-powlax.pdf/,1078452247,[mpdl-file-link file_id=1154],https://powlax.com/wp-content/uploads/2020/08/7v7-Up-Pick-Nations-Youtube-Final-2.webp
,,7v7 Y Offense,28,Keep things simple in your 7v7 Tournaments with the 4v4 Y-Offense.,offense,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/7v7-y-offense-pdf-lacrosse-powlax.pdf/,1078452274,[mpdl-file-link file_id=1156],https://powlax.com/wp-content/uploads/2020/08/7v7-Text-Youtube-Final.webp
,,A Complete Guide To Man Down Defense,29,A complete guide to man down defense! This is everything I know about man down defense!,defense; man-down,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1078452471,[mpdl-file-link file_id=1158],https://powlax.com/wp-content/uploads/2020/09/A-Complete-Guide-to-Man-Down-Defense-1.webp
,,Adjacent Slide Basics,30,An introduction to the concepts of man to man defense and the basic philosophy of an adjacent slide defense.,defense,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/adjacent-slide-basics-lacrosse-powlax.pdf/,1078452523,[mpdl-file-link file_id=1160],https://powlax.com/wp-content/uploads/2020/08/Adjacent-Slide-Basics-Lacrosse-POWLAX-scaled.webp
,,Attacking Gaps and Softspots vs Zone Defense,70,This is one of the ways to beat zone defense,offense,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/how-to-beat-zone-defense-lacrosse-coaching-zone-offense-powlax.pdf/,1081206830,[mpdl-file-link file_id=1237],https://powlax.com/wp-content/uploads/2022/02/How-to-Beat-Zone-Defense-Lacrosse-Coaching-Zone-Offense-POWLAX.webp;https://powlax.com/wp-content/uploads/2022/07/9B07A13B-9E30-48BD-90DE-CB2F5016F70B-e1658347862263.webp
,,Basics of Individual Defensive Play in Lacrosse,32,Individual Defensive Play and Basics in Lacrosse! An overview of individual defensive play and basics in lacrosse. A video addition to “The Player and Parents Guide to Lacrosse&#8221;by Patrick Chapla.,defense,,,,,,06-08,09-12,13-14,,coaches,coaches_corner,,1078452551,[mpdl-file-link file_id=1164],https://powlax.com/wp-content/uploads/2022/11/The-basics-of-individual-defense.png
,,Beat Your Man and Score vs Zone Defense,33,This is a video about the benefits of dodging and beating your man when playing against a zone defense,offense,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/how-to-beat-zone-defense-lacrosse-coaching-zone-offense-powlax.pdf/,1092027232,[mpdl-file-link file_id=1166],https://powlax.com/wp-content/uploads/2022/07/AB71609A-551C-4B37-81FD-CCD857A7CD0C-e1658347823645.webp
,,Best Drills and Games for Gym Practice,179,Many Drills for Gym Practices,,,,,,,06-08,06-14,13-14,,coaches,coaches_corner,,1078452562,,
,,Big Little Picks,186,Explainer video of Big Little Pick Concept within 2 Man Games,offense,,,,,,09-10,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/21-12-motion-offense-pdf-lacrosse-powlax.pdf/,1078452637,,
,,Bling Bling Shooting Drill,35,Bling Bling Shooting is a simple dodging and shooting drill that you can use to train a large group of players a plethora of shooting and dodging tactics.,,skill-drill,,,,,06-08,06-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/bling-bling-shooting-drill-lacrosse-powlax.pdf/,1078452651,[mpdl-file-link file_id=1170],https://powlax.com/wp-content/uploads/2024/03/Bling-Bling-Shooting-_-Lacrosse-_-POWLAX.png
,,Box and 1 Zone Man Down Defense,36,The Box and 1 is an extremely popular introductory man down defense to start teams off with.,defense;man-down,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1078452661,[mpdl-file-link file_id=1172],https://powlax.com/wp-content/uploads/2020/12/Box-and-1-Man-Down-Defense-Lacrosse-POWLAX.webp
,,Box and Suprise Lock Man Down Defense,37,This is one of my new favorite Man Down Defenses. Show your base MDD and then lock with the shorty and play 5v4 with 4 poles!,defense;man-down,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/a-complete-guide-to-man-down-defense-lacrosse-powlax.pdf/,1078452670,[mpdl-file-link file_id=1174],https://powlax.com/wp-content/uploads/2020/12/Box-and-Surprise-Lock-Man-Down-Defense-Lacrosse-POWLAX.webp
,,Box Lacrosse Transition and Subbing,38,Transition accounts for over 70% of goals! This post will cover everything you need to know to score more and get scored on less!,transition-o-d,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/box-lacrosse-transition-and-subbing-lacrosse-powlax.pdf/,1081201502,[mpdl-file-link file_id=1176],https://powlax.com/wp-content/uploads/2020/08/Box-Lacrosse-Transition-and-Subbing-Lacrosse-POWLAX.webp
,,Box Man Up Play - Double Picks,39,"These Box Lacrosse Man Up Plays are simple and effective. By setting two picks on a single side of the floor, we take a 3v2 advantage and turn it into a 1v0.",offense;man-up;set-plays,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/box-man-up-play-double-picks.pdf/,1078452696,[mpdl-file-link file_id=1178],https://powlax.com/wp-content/uploads/2020/08/Box-Man-Up-Plays-Double-Pick-Lacrosse-POWLAX.webp
,,Building Box Picks with 3v0's 3v2's and 3v3's,41,"Continue building box picking concepts with 3v0 &#8211;3v2 &#8211;3v3 Drills. Using the 3v series, we will integrate both sides of the floor and begin to integrate backside defensive play.",offense; 2-man-game,gameplay-concept,,,,,06-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/building-picks-with-3v0s-3v2s-and-3v3s-lacrosse-powlax.pdf/,1078452745,[mpdl-file-link file_id=1182],https://powlax.com/wp-content/uploads/2020/08/Building-Box-Picks-with-3v0-3v2-3v3-Drills-Lacrosse-POWLAX.webp
,,"Building Down Picks with 4v0's, 4v3's, and 4v4's",40,"Pass Down Pick Downs with a Cycle backside create a dynamic offensive flow! Learn how to build this series with 4v0&#8217;s, 4v3&#8217;s, and 4v4&#8217;s!",offense; 2-man-game,gameplay-concept,,,,,06-10,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/building-down-picks-with-4v0s-4v3s-and-4v4s-box-lacrosse-powlax.pdf/,1078452731,[mpdl-file-link file_id=1180],https://powlax.com/wp-content/uploads/2020/08/Building-Box-Picks-with-4v0-4v3-4v4-Drills-Lacrosse-POWLAX.webp
,,"Building Offense and Defense with 3v0's, 3v2's, and 3v3's",42,The part whole method at work. This video walks through the intricacies of teaching offense and defense from the bottom up!,offense; defense,gameplay-concept,,,,,06-10,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/building-offense-and-defense-with-3v0s-3v2s-and-3v3s.pdf/,1078533675,[mpdl-file-link file_id=1184],https://powlax.com/wp-content/uploads/2020/08/3v0s-3v2s-and-3v3s-Lacrosse-POWLAX.webp
,,Building Perfect Play Images,43,A tutorial about how I create the play diagrams that I use in my playbook PDFs.,,,,,,,06-08,06-18,15-18,,coaches,coaches_corner,,1092027161,[mpdl-file-link file_id=1186],https://powlax.com/wp-content/uploads/2020/08/Building-Perfect-Playbook-Images-POWLAX.webp
,,"Building Up Picks with 4v0's, 4v3's, and 4v4's",44,"Up Picks with a Cycle backside creates an effective offensive flow and allows players to slip top down towards the goal! Learn how to build this series with 4v0&#8217;s, 4v3&#8217;s, and 4v4&#8217;s!",offense; defense,gameplay-concept,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/building-up-picks-with-4v0s-4v3s-and-4v4s-lacrosse-powlax.pdf/,1081201525,[mpdl-file-link file_id=1189],https://powlax.com/wp-content/uploads/2020/08/Building-Box-Up-Picks-with-4v0-4v3-4v4-Drills-Lacrosse-POWLAX.webp
,,Butt to Butt Ground Balls,175,1v1 Ground Ball Drill,,skill-drill,,,,,06-08,06-08,09-10,,coaches,coaches_corner,,1078452882,,
,,Cheddar and Pepper Jack Man Up Plays OFfense,45,"Early in the 2022 Season, one of our Captains brought me a Man Up Play called Cheddar that he had been using in the Summer Club Season. We renamed and installed it during our first couple weeks, and went into our first game against Corner Canyon and got destroyed by their Pressure 5 Man Rotation. The problem was not the play exactly, it was that the play hinged on 2 or 3 passes for a specific look that we failed make with the pressure.",man-up,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/cheddar-and-pepper-jack-man-up-motions-lacrosse-offense-powlax.pdf/,1092027087,[mpdl-file-link file_id=1191],https://powlax.com/wp-content/uploads/2022/07/Cheddar-and-Pepper-Jack-Man-Up-Plays.webp
,,Choosing The Right Stick,128,"Choosing the correct stick is the most important decision a parent can make when their young player tries lacrosse! Huge thank you to Alf Jacques, Greg Kenneally, and Jake Smith for being in the video as well as String King, East Coast Dyes, and Powell Lacrosse for sending me their sticks.",,,,,,,,,,pdf_yes,,coaches_corner,https://powlax.com/mp-files/choosing-the-right-stick-lacrosse-powlax.pdf/,1092026815,[mpdl-file-link file_id=1223],https://powlax.com/wp-content/uploads/2020/08/So-Your-Kid-Wants-to-Play-Lacrosse-Choosing-The-Right-Stick-POWLAX-1.webp
,,Circle Dodging,46,"Having great stick skills means more than just being able to pass, catch, and pick up ground balls. It means being able to wield your stick and control the ball like an experienced samurai controls his katana. Give every player on your team a ton of great reps with this simple and effective skill drill.",,skill-drill,,,,,06-08,09-12,11-12,,coaches,coaches_corner,,180762732,[mpdl-file-link file_id=1193],https://powlax.com/wp-content/uploads/2020/08/Circle-Dodging-Drill-Lacrosse-POWLAX-scaled.webp
